subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D046790	skos:exactMatch	uberon:0000017	semapv:MappingInversion	biomappings			1.0		uberon:0000017 mesh:D046790
bto:0006242	skos:exactMatch	uberon:0000076	semapv:MappingInversion	biomappings			1.0		uberon:0000076 bto:0006242
mesh:D001812	skos:exactMatch	uberon:0000120	semapv:MappingInversion	biomappings			1.0		uberon:0000120 mesh:D001812
mesh:D065828	skos:exactMatch	uberon:0000127	semapv:MappingInversion	biomappings			1.0		uberon:0000127 mesh:D065828
mesh:D001003	skos:exactMatch	uberon:0000159	semapv:MappingInversion	biomappings			1.0		uberon:0000159 mesh:D001003
mesh:D001269	skos:exactMatch	uberon:0000220	semapv:MappingInversion	biomappings			1.0		uberon:0000220 mesh:D001269
bto:0001539	skos:exactMatch	uberon:0000353	semapv:MappingInversion	biomappings			1.0		uberon:0000353 bto:0001539
mesh:D000072600	skos:exactMatch	uberon:0000387	semapv:MappingInversion	biomappings			1.0		uberon:0000387 mesh:D000072600
mesh:D007080	skos:exactMatch	uberon:0000569	semapv:MappingInversion	biomappings			1.0		uberon:0000569 mesh:D007080
mesh:D060227	skos:exactMatch	uberon:0000939	semapv:MappingInversion	biomappings			1.0		uberon:0000939 mesh:D060227
mesh:D054259	skos:exactMatch	uberon:0001049	semapv:MappingInversion	biomappings			1.0		uberon:0001049 mesh:D054259
mesh:D044682	skos:exactMatch	uberon:0001156	semapv:MappingInversion	biomappings			1.0		uberon:0001156 mesh:D044682
mesh:D044684	skos:exactMatch	uberon:0001157	semapv:MappingInversion	biomappings			1.0		uberon:0001157 mesh:D044684
mesh:D044683	skos:exactMatch	uberon:0001158	semapv:MappingInversion	biomappings			1.0		uberon:0001158 mesh:D044683
mesh:D052436	skos:exactMatch	uberon:0001347	semapv:MappingInversion	biomappings			1.0		uberon:0001347 mesh:D052436
mesh:D042601	skos:exactMatch	uberon:0001473	semapv:MappingInversion	biomappings			1.0		uberon:0001473 mesh:D042601
mesh:D054063	skos:exactMatch	uberon:0001642	semapv:MappingInversion	biomappings			1.0		uberon:0001642 mesh:D054063
mesh:D065838	skos:exactMatch	uberon:0001715	semapv:MappingInversion	biomappings			1.0		uberon:0001715 mesh:D065838
mesh:D005728	skos:exactMatch	uberon:0001806	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C12467	skos:exactMatch	uberon:0001806	semapv:MappingChaining	biomappings			1.0		ncit:C12467 mesh:D005728 uberon:0001806
mesh:D005726	skos:exactMatch	uberon:0001808	semapv:MappingInversion	biomappings			1.0		uberon:0001808 mesh:D005726
mesh:D055171	skos:exactMatch	uberon:0001823	semapv:MappingInversion	biomappings			1.0		uberon:0001823 mesh:D055171
mesh:D054776	skos:exactMatch	uberon:0001856	semapv:MappingInversion	biomappings			1.0		uberon:0001856 mesh:D054776
mesh:D014722	skos:exactMatch	uberon:0001862	semapv:MappingInversion	biomappings			1.0		uberon:0001862 mesh:D014722
mesh:D054738	skos:exactMatch	uberon:0001863	semapv:MappingInversion	biomappings			1.0		uberon:0001863 mesh:D054738
mesh:D066208	skos:exactMatch	uberon:0001883	semapv:MappingInversion	biomappings			1.0		uberon:0001883 mesh:D066208
mesh:D065820	skos:exactMatch	uberon:0001907	semapv:MappingInversion	biomappings			1.0		uberon:0001907 mesh:D065820
bto:0006166	skos:exactMatch	uberon:0001931	semapv:MappingInversion	biomappings			1.0		uberon:0001931 bto:0006166
mesh:D066250	skos:exactMatch	uberon:0001944	semapv:MappingInversion	biomappings			1.0		uberon:0001944 mesh:D066250
bto:0006329	skos:exactMatch	uberon:0001947	semapv:MappingInversion	biomappings			1.0		uberon:0001947 bto:0006329
mesh:D044967	skos:exactMatch	uberon:0001977	semapv:MappingInversion	biomappings			1.0		uberon:0001977 mesh:D044967
mesh:D051445	skos:exactMatch	uberon:0001995	semapv:MappingInversion	biomappings			1.0		uberon:0001995 mesh:D051445
mesh:D066128	skos:exactMatch	uberon:0002020	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32695	skos:exactMatch	uberon:0002020	semapv:MappingChaining	biomappings			1.0		ncit:C32695 mesh:D066128 uberon:0002020
bto:0006167	skos:exactMatch	uberon:0002035	semapv:MappingInversion	biomappings			1.0		uberon:0002035 bto:0006167
mesh:D065847	skos:exactMatch	uberon:0002043	semapv:MappingInversion	biomappings			1.0		uberon:0002043 mesh:D065847
mesh:D054089	skos:exactMatch	uberon:0002062	semapv:MappingInversion	biomappings			1.0		uberon:0002062 mesh:D054089
mesh:D060910	skos:exactMatch	uberon:0002120	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C34280	skos:exactMatch	uberon:0002120	semapv:MappingChaining	biomappings			1.0		uberon:0002120 mesh:D060910 ncit:C34280
mesh:D065832	skos:exactMatch	uberon:0002128	semapv:MappingInversion	biomappings			1.0		uberon:0002128 mesh:D065832
mesh:D045042	skos:exactMatch	uberon:0002142	semapv:MappingInversion	biomappings			1.0		uberon:0002142 mesh:D045042
mesh:D066268	skos:exactMatch	uberon:0002145	semapv:MappingInversion	biomappings			1.0		uberon:0002145 mesh:D066268
mesh:D065837	skos:exactMatch	uberon:0002152	semapv:MappingInversion	biomappings			1.0		uberon:0002152 mesh:D065837
mesh:D065846	skos:exactMatch	uberon:0002156	semapv:MappingInversion	biomappings			1.0		uberon:0002156 mesh:D065846
mesh:D065848	skos:exactMatch	uberon:0002157	semapv:MappingInversion	biomappings			1.0		uberon:0002157 mesh:D065848
