subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D000009	skos:exactMatch	ncit:C32040	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32040	skos:exactMatch	mesh:D000009	semapv:MappingInversion	biomappings			1.0		mesh:D000009 ncit:C32040
mesh:D001012	skos:exactMatch	ncit:C32038	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32038	skos:exactMatch	mesh:D001012	semapv:MappingInversion	biomappings			1.0		mesh:D001012 ncit:C32038
mesh:D001065	skos:exactMatch	ncit:C12380	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
ncit:C12380	skos:exactMatch	mesh:D001065	semapv:MappingInversion	biomappings			1.0		mesh:D001065 ncit:C12380
mesh:D005624	skos:exactMatch	ncit:C32635	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32635	skos:exactMatch	mesh:D005624	semapv:MappingInversion	biomappings			1.0		mesh:D005624 ncit:C32635
mesh:D005728	skos:exactMatch	ncit:C12467	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C12467	skos:exactMatch	mesh:D005728	semapv:MappingInversion	biomappings			1.0		mesh:D005728 ncit:C12467
mesh:D005744	skos:exactMatch	ncit:C94192	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C94192	skos:exactMatch	mesh:D005744	semapv:MappingInversion	biomappings			1.0		mesh:D005744 ncit:C94192
mesh:D005753	skos:exactMatch	ncit:C32656	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C32656	skos:exactMatch	mesh:D005753	semapv:MappingInversion	biomappings			1.0		mesh:D005753 ncit:C32656
mesh:D016909	skos:exactMatch	ncit:C12824	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C12824	skos:exactMatch	mesh:D016909	semapv:MappingInversion	biomappings			1.0		mesh:D016909 ncit:C12824
mesh:D017006	skos:exactMatch	ncit:C33497	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C33497	skos:exactMatch	mesh:D017006	semapv:MappingInversion	biomappings			1.0		mesh:D017006 ncit:C33497
mesh:D017072	skos:exactMatch	ncit:C111122	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C111122	skos:exactMatch	mesh:D017072	semapv:MappingInversion	biomappings			1.0		mesh:D017072 ncit:C111122
mesh:D034861	skos:exactMatch	ncit:C77608	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C77608	skos:exactMatch	mesh:D034861	semapv:MappingInversion	biomappings			1.0		mesh:D034861 ncit:C77608
mesh:D057146	skos:exactMatch	ncit:C33144	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C33144	skos:exactMatch	mesh:D057146	semapv:MappingInversion	biomappings			1.0		mesh:D057146 ncit:C33144
mesh:D058746	skos:exactMatch	ncit:C82951	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C82951	skos:exactMatch	mesh:D058746	semapv:MappingInversion	biomappings			1.0		mesh:D058746 ncit:C82951
mesh:D060168	skos:exactMatch	ncit:C12994	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
ncit:C12994	skos:exactMatch	mesh:D060168	semapv:MappingInversion	biomappings			1.0		mesh:D060168 ncit:C12994
mesh:D060910	skos:exactMatch	ncit:C34280	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
